age,gender,income,education,political_leaning,religious_level,donated_before,donation_frequency,trust_charities,charities_rated_by_effectiveness,objective_measures_help,charities_match_my_values,country,province,chosen_option,don_gender,don_age,don_identifiability,don_relatedness,don_num_recipients,don_cause,don_brand,don_location,don_region
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,,,unnamed,,20,assault victim support,low-recognition,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,1,male,,unnamed,,231,nutritious meals,,Western Europe,near
18.0,Male,42810.49,Some college education,7,0,Yes,Less than once a month,0.29,0.91,0.78,0.12,France,Haute-Garonne,0,,child,,,264,assault victim support,high-recognition,East Asia,far
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,male,,,,70,clean water,high-recognition,Western Europe,near
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,female,,,,209,nutritious meals,high-recognition,Western Europe,near
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,0,male,,unnamed,,290,medication,,East Asia,far
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,,senior,,,204,nutritious meals,low-recognition,Western Europe,near
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,0,,adult,,,62,assault victim support,low-recognition,South Africa,far
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,,child,,,129,medication,high-recognition,Western Europe,near
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,female,,,,63,assault victim support,high-recognition,Western Europe,near
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,,,unnamed,,275,nutritious meals,,Western Europe,near
18.0,Male,10210.99,High school diploma,4,1,Yes,Less than once a month,0.24,0.48,0.47,0.67,France,Puy-de-Dôme,1,,child,,,153,nutritious meals,low-recognition,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,,senior,unnamed,,82,assault victim support,,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,male,,,,49,nutritious meals,low-recognition,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,male,,unnamed,,145,medication,,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,,,named,,69,assault victim support,high-recognition,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,male,,,,66,nutritious meals,low-recognition,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,,,unnamed,,73,clean water,high-recognition,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,,senior,,,145,nutritious meals,high-recognition,Western Europe,near
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,0,,child,unnamed,,64,medication,,North Africa,far
23.0,Unknown,116716.29,High school diploma,9,0,No,Unknown,0.27,0.52,0.87,0.96,France,Drôme,1,female,,,,211,medication,low-recognition,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,female,,,,195,medication,low-recognition,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,,,unnamed,,195,nutritious meals,,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,,,unnamed,,36,assault victim support,low-recognition,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,female,,unnamed,,215,nutritious meals,,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,male,,,,40,nutritious meals,high-recognition,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,,child,,,194,assault victim support,low-recognition,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,0,,adult,,,84,medication,high-recognition,East Asia,far
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,,,unnamed,,59,clean water,high-recognition,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,,,unnamed,,151,medication,,Western Europe,near
31.0,Female,91123.32,Unknown,5,1,Yes,Less than once a month,0.49,0.22,0.82,0.28,France,Haute-Corse,1,male,,,,77,clean water,low-recognition,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,male,,unnamed,,216,assault victim support,,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,,senior,,,242,assault victim support,low-recognition,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,0,female,,unnamed,,175,nutritious meals,,East Asia,far
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,0,female,,,,227,assault victim support,low-recognition,East Asia,far
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,,child,,,212,clean water,high-recognition,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,,,named,,35,nutritious meals,low-recognition,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,,adult,,,23,clean water,low-recognition,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,,senior,,,74,medication,low-recognition,Western Europe,near
18.0,Male,,Graduate degree,5,0,Yes,Less than once a year,1.0,0.51,0.53,0.82,France,Cher,1,,adult,unnamed,,279,clean water,,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,male,,,,198,nutritious meals,high-recognition,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,,senior,unnamed,,167,clean water,,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,female,,unnamed,,208,assault victim support,,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,female,,,,224,nutritious meals,high-recognition,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,,adult,,,148,clean water,high-recognition,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,,adult,,,155,nutritious meals,high-recognition,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,,,named,,248,clean water,low-recognition,Western Europe,near
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,0,female,,,,106,clean water,low-recognition,East Asia,far
,Male,97879.84,Bachelor’s degree,5,5,Yes,Less than once a month,0.26,0.75,0.85,1.0,France,Cher,1,,,unnamed,,39,assault victim support,low-recognition,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,,adult,,,286,nutritious meals,low-recognition,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,male,,,,150,clean water,high-recognition,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,,senior,unnamed,,267,assault victim support,,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,,senior,unnamed,,259,clean water,,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,,adult,,,92,clean water,low-recognition,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,0,female,,unnamed,,214,clean water,,East Asia,far
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,,child,,,131,assault victim support,high-recognition,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,female,,unnamed,,83,medication,,Western Europe,near
21.0,Female,2755.12,Bachelor’s degree,3,2,Yes,Less than once a year,0.32,0.17,0.49,0.59,France,Aube,1,,adult,,,13,clean water,high-recognition,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,female,,unnamed,,9,assault victim support,,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,female,,,,52,assault victim support,high-recognition,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,,named,,167,assault victim support,high-recognition,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,senior,,,236,nutritious meals,high-recognition,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,child,unnamed,,105,assault victim support,,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,senior,,,168,medication,low-recognition,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,,named,,145,clean water,low-recognition,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,adult,unnamed,,164,nutritious meals,,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,child,unnamed,,138,clean water,,Western Europe,near
18.0,Unknown,10447.17,Bachelor’s degree,9,1,Yes,More than once a month,0.61,0.6,0.89,0.65,France,Allier,1,,,unnamed,,294,clean water,,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,,adult,,,155,nutritious meals,high-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,,senior,,,12,assault victim support,high-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,male,,,,7,medication,low-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,,adult,,,145,assault victim support,high-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,,,unnamed,,42,assault victim support,low-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,,child,,,247,assault victim support,high-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,female,,,,171,assault victim support,high-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,male,,unnamed,,9,assault victim support,,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,,,named,,51,medication,high-recognition,Western Europe,near
18.0,Female,,Bachelor’s degree,10,2,No,Unknown,0.67,0.59,0.58,0.65,France,Île-de-France,1,male,,,,154,clean water,low-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,0,female,,,,35,nutritious meals,high-recognition,North Africa,far
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,,child,,,112,medication,high-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,female,,unnamed,,84,clean water,,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,male,,,,40,nutritious meals,high-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,,adult,,,70,medication,high-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,male,,,,194,nutritious meals,high-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,,child,,,265,clean water,high-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,,child,unnamed,,138,clean water,,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,,child,,,233,medication,high-recognition,Western Europe,near
22.0,Male,,Bachelor’s degree,4,0,Yes,Less than once a month,0.74,0.77,0.59,0.62,France,Wallis-et-Futuna,1,,,named,,58,assault victim support,low-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,,,unnamed,,209,nutritious meals,,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,,senior,,,7,medication,high-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,,senior,,,224,nutritious meals,high-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,female,,,,208,medication,low-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,,senior,,,222,clean water,high-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,female,,unnamed,,57,assault victim support,,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,male,,,,12,nutritious meals,low-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,,senior,,,189,clean water,low-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,1,female,,,,239,nutritious meals,low-recognition,Western Europe,near
21.0,Male,17213.45,Bachelor’s degree,10,1,No,Unknown,0.96,1.0,0.89,1.0,France,Auvergne-Rhône-Alpes,0,,,unnamed,,6,nutritious meals,high-recognition,East Asia,far
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,male,,unnamed,,285,nutritious meals,,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,,,unnamed,,39,medication,,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,,,unnamed,,269,medication,high-recognition,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,female,,,,233,assault victim support,low-recognition,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,,child,,,65,medication,high-recognition,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,female,,unnamed,,45,nutritious meals,,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,male,,unnamed,,3,clean water,,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,1,,senior,,,223,assault victim support,low-recognition,Western Europe,near
34.0,Male,,Bachelor’s degree,3,2,No,Unknown,0.78,0.71,0.72,0.92,France,Vendée,0,,senior,,,20,nutritious meals,high-recognition,North America,far
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,1,,,unnamed,,228,nutritious meals,,Western Europe,near
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,0,female,,,,209,assault victim support,low-recognition,Central Africa,far
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,1,,child,unnamed,,158,medication,,Western Europe,near
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,1,female,,,,232,clean water,low-recognition,Western Europe,near
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,1,,child,,,102,medication,low-recognition,Western Europe,near
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,0,,adult,,,118,clean water,low-recognition,East Asia,far
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,1,,adult,,,5,clean water,high-recognition,Western Europe,near
30.0,Male,,Some college education,8,2,Yes,Less than once a year,0.36,0.94,0.4,0.81,France,Aube,1,female,,,,278,medication,low-recognition,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,female,,,,211,assault victim support,low-recognition,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,female,,,,4,assault victim support,low-recognition,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,,child,,,243,assault victim support,low-recognition,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,,adult,unnamed,,95,clean water,,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,female,,,,108,medication,low-recognition,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,,,unnamed,,245,medication,,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,female,,,,183,medication,low-recognition,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,,adult,unnamed,,257,assault victim support,,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,1,,senior,unnamed,,224,clean water,,Western Europe,near
18.0,Female,33697.4,Graduate degree,0,0,No,Unknown,0.08,0.32,0.86,0.92,France,Aisne,0,male,,,,124,medication,low-recognition,Eastern Europe,far
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,,unnamed,,186,clean water,low-recognition,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,child,,,86,medication,low-recognition,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,adult,unnamed,,257,assault victim support,,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,0,male,,,,94,medication,high-recognition,Central America,far
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,adult,,,121,clean water,high-recognition,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,female,,,,126,assault victim support,high-recognition,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,senior,,,290,clean water,high-recognition,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,adult,,,54,clean water,high-recognition,Western Europe,near
30.0,Female,37309.13,Bachelor’s degree,6,0,Yes,Less than once a year,0.45,0.65,0.31,0.51,France,Maine-et-Loire,1,,child,,,271,nutritious meals,high-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,,child,,,111,assault victim support,low-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,0,,,unnamed,,57,assault victim support,high-recognition,Central Africa,far
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,,,unnamed,,29,nutritious meals,high-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,female,,,,18,nutritious meals,low-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,0,,adult,,,124,medication,low-recognition,South America,far
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,female,,,,233,assault victim support,low-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,female,,,,195,medication,low-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,,,unnamed,,269,medication,high-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,,child,,,192,nutritious meals,high-recognition,Western Europe,near
29.0,Male,6224.18,High school diploma,10,2,Yes,Less than once a year,0.2,0.63,0.46,0.43,France,Charente,1,male,,unnamed,,198,assault victim support,,Western Europe,near
29.0,Unknown,3450.87,Some college education,6,0,Yes,Less than once a year,0.22,0.61,0.53,0.55,France,Haute-Savoie,1,,senior,unnamed,,78,clean water,,Western Europe,near
