option_id,prompt
64,"You have $100 to donate.
Would you support a charity that provides assault victim support to 91 female strangers in Eastern Europe through a unnamed charity?
"
65,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 220 child nameds in SouthEast Asia through a low-recognition charity?
"
66,"You have $100 to donate.
Would you support a charity that provides assault victim support to 163 male nameds in South America through a high-recognition charity?
"
67,"You have $100 to donate.
Would you support a charity that provides assault victim support to 37 male strangers in North Africa through a high-recognition charity?
"
68,"You have $100 to donate.
Would you support a charity that provides clean water to 154 male nameds in East Asia through a unnamed charity?
"
69,"You have $100 to donate.
Would you support a charity that provides medication to 288 unnamed strangers in Central Africa through a high-recognition charity?
"
70,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 2 named relatives in Eastern Europe through a unnamed charity?
"
71,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 128 adult nameds in Western Europe through a high-recognition charity?
"
72,"You have $100 to donate.
Would you support a charity that provides assault victim support to 269 male nameds in East Asia through a low-recognition charity?
"
73,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 171 adult nameds in SouthEast Asia through a unnamed charity?
"
74,"You have $100 to donate.
Would you support a charity that provides assault victim support to 136 male adults in Central Africa through a low-recognition charity?
"
75,"You have $100 to donate.
Would you support a charity that provides clean water to 282 female childs in East Asia through a high-recognition charity?
"
76,"You have $100 to donate.
Would you support a charity that provides clean water to 295 female relatives in Eastern Europe through a low-recognition charity?
"
77,"You have $100 to donate.
Would you support a charity that provides clean water to 111 female seniors in North America through a high-recognition charity?
"
78,"You have $100 to donate.
Would you support a charity that provides assault victim support to 292 child relatives in North Africa through a low-recognition charity?
"
79,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 139 male selfs in Eastern Europe through a low-recognition charity?
"
80,"You have $100 to donate.
Would you support a charity that provides assault victim support to 148 adult selfs in Central America through a low-recognition charity?
"
81,"You have $100 to donate.
Would you support a charity that provides clean water to 21 unnamed relatives in Central Africa through a high-recognition charity?
"
82,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 130 senior unnameds in Eastern Europe through a low-recognition charity?
"
83,"You have $100 to donate.
Would you support a charity that provides medication to 201 senior nameds in Central America through a low-recognition charity?
"
84,"You have $100 to donate.
Would you support a charity that provides assault victim support to 193 female selfs in East Asia through a unnamed charity?
"
85,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 102 female childs in North America through a unnamed charity?
"
86,"You have $100 to donate.
Would you support a charity that provides assault victim support to 187 male unnameds in North Africa through a unnamed charity?
"
87,"You have $100 to donate.
Would you support a charity that provides assault victim support to 7 female childs in East Asia through a low-recognition charity?
"
88,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 170 male nameds in South America through a high-recognition charity?
"
89,"You have $100 to donate.
Would you support a charity that provides assault victim support to 97 senior unnameds in North Africa through a unnamed charity?
"
90,"You have $100 to donate.
Would you support a charity that provides clean water to 140 female relatives in Central America through a high-recognition charity?
"
91,"You have $100 to donate.
Would you support a charity that provides medication to 136 unnamed relatives in North Africa through a high-recognition charity?
"
92,"You have $100 to donate.
Would you support a charity that provides clean water to 108 named strangers in Western Europe through a unnamed charity?
"
93,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 6 adult unnameds in North Africa through a unnamed charity?
"
94,"You have $100 to donate.
Would you support a charity that provides assault victim support to 204 female strangers in Western Europe through a high-recognition charity?
"
95,"You have $100 to donate.
Would you support a charity that provides assault victim support to 230 female relatives in North America through a low-recognition charity?
"
96,"You have $100 to donate.
Would you support a charity that provides assault victim support to 192 male strangers in North Africa through a low-recognition charity?
"
97,"You have $100 to donate.
Would you support a charity that provides assault victim support to 249 female strangers in Central America through a unnamed charity?
"
98,"You have $100 to donate.
Would you support a charity that provides medication to 137 female unnameds in South Africa through a unnamed charity?
"
99,"You have $100 to donate.
Would you support a charity that provides medication to 143 female seniors in East Asia through a high-recognition charity?
"
100,"You have $100 to donate.
Would you support a charity that provides assault victim support to 242 female relatives in South America through a unnamed charity?
"
101,"You have $100 to donate.
Would you support a charity that provides assault victim support to 41 senior unnameds in South America through a high-recognition charity?
"
102,"You have $100 to donate.
Would you support a charity that provides assault victim support to 182 male adults in Central Africa through a low-recognition charity?
"
103,"You have $100 to donate.
Would you support a charity that provides clean water to 253 female strangers in South Africa through a unnamed charity?
"
104,"You have $100 to donate.
Would you support a charity that provides assault victim support to 244 male relatives in Central Africa through a high-recognition charity?
"
105,"You have $100 to donate.
Would you support a charity that provides medication to 264 adult relatives in Western Europe through a unnamed charity?
"
106,"You have $100 to donate.
Would you support a charity that provides assault victim support to 279 child selfs in Western Europe through a high-recognition charity?
"
107,"You have $100 to donate.
Would you support a charity that provides medication to 280 male selfs in North America through a high-recognition charity?
"
108,"You have $100 to donate.
Would you support a charity that provides clean water to 132 child relatives in South America through a low-recognition charity?
"
109,"You have $100 to donate.
Would you support a charity that provides medication to 187 adult relatives in SouthEast Asia through a high-recognition charity?
"
110,"You have $100 to donate.
Would you support a charity that provides clean water to 11 female selfs in Central Africa through a unnamed charity?
"
111,"You have $100 to donate.
Would you support a charity that provides clean water to 190 male nameds in Central Africa through a low-recognition charity?
"
112,"You have $100 to donate.
Would you support a charity that provides assault victim support to 263 senior strangers in East Asia through a unnamed charity?
"
113,"You have $100 to donate.
Would you support a charity that provides clean water to 178 senior selfs in North Africa through a unnamed charity?
"
114,"You have $100 to donate.
Would you support a charity that provides clean water to 25 named relatives in Central America through a high-recognition charity?
"
115,"You have $100 to donate.
Would you support a charity that provides assault victim support to 233 male relatives in SouthEast Asia through a high-recognition charity?
"
116,"You have $100 to donate.
Would you support a charity that provides assault victim support to 64 unnamed relatives in Eastern Europe through a high-recognition charity?
"
117,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 115 unnamed strangers in South Africa through a unnamed charity?
"
118,"You have $100 to donate.
Would you support a charity that provides medication to 24 female unnameds in SouthEast Asia through a unnamed charity?
"
119,"You have $100 to donate.
Would you support a charity that provides clean water to 99 senior strangers in Central Africa through a unnamed charity?
"
120,"You have $100 to donate.
Would you support a charity that provides medication to 247 senior relatives in South America through a unnamed charity?
"
121,"You have $100 to donate.
Would you support a charity that provides medication to 190 female childs in SouthEast Asia through a unnamed charity?
"
122,"You have $100 to donate.
Would you support a charity that provides assault victim support to 131 adult relatives in SouthEast Asia through a unnamed charity?
"
123,"You have $100 to donate.
Would you support a charity that provides assault victim support to 76 female childs in North Africa through a high-recognition charity?
"
124,"You have $100 to donate.
Would you support a charity that provides assault victim support to 1 male relatives in East Asia through a unnamed charity?
"
125,"You have $100 to donate.
Would you support a charity that provides medication to 219 male nameds in Central Africa through a low-recognition charity?
"
126,"You have $100 to donate.
Would you support a charity that provides clean water to 273 male nameds in South Africa through a low-recognition charity?
"
127,"You have $100 to donate.
Would you support a charity that provides assault victim support to 150 unnamed relatives in North America through a unnamed charity?
"
128,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 171 child nameds in South America through a unnamed charity?
"
129,"You have $100 to donate.
Would you support a charity that provides clean water to 54 adult strangers in East Asia through a unnamed charity?
"
130,"You have $100 to donate.
Would you support a charity that provides clean water to 119 child unnameds in Central Africa through a high-recognition charity?
"
131,"You have $100 to donate.
Would you support a charity that provides clean water to 229 male adults in Eastern Europe through a high-recognition charity?
"
132,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 184 male childs in Eastern Europe through a unnamed charity?
"
133,"You have $100 to donate.
Would you support a charity that provides assault victim support to 239 senior unnameds in SouthEast Asia through a low-recognition charity?
"
134,"You have $100 to donate.
Would you support a charity that provides assault victim support to 23 adult strangers in East Asia through a unnamed charity?
"
135,"You have $100 to donate.
Would you support a charity that provides assault victim support to 26 named relatives in Central Africa through a unnamed charity?
"
136,"You have $100 to donate.
Would you support a charity that provides clean water to 291 female relatives in Western Europe through a high-recognition charity?
"
137,"You have $100 to donate.
Would you support a charity that provides clean water to 232 child nameds in South Africa through a high-recognition charity?
"
138,"You have $100 to donate.
Would you support a charity that provides clean water to 45 child strangers in Eastern Europe through a high-recognition charity?
"
139,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 250 female relatives in Central America through a unnamed charity?
"
140,"You have $100 to donate.
Would you support a charity that provides clean water to 281 unnamed selfs in North Africa through a unnamed charity?
"
141,"You have $100 to donate.
Would you support a charity that provides medication to 245 child selfs in Central America through a low-recognition charity?
"
142,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 104 adult unnameds in East Asia through a high-recognition charity?
"
143,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 213 male seniors in Central America through a high-recognition charity?
"
144,"You have $100 to donate.
Would you support a charity that provides clean water to 154 male selfs in Western Europe through a low-recognition charity?
"
145,"You have $100 to donate.
Would you support a charity that provides medication to 28 named selfs in Central America through a low-recognition charity?
"
146,"You have $100 to donate.
Would you support a charity that provides medication to 52 adult selfs in Central America through a high-recognition charity?
"
147,"You have $100 to donate.
Would you support a charity that provides medication to 14 unnamed selfs in Central America through a high-recognition charity?
"
148,"You have $100 to donate.
Would you support a charity that provides assault victim support to 105 child selfs in Western Europe through a unnamed charity?
"
149,"You have $100 to donate.
Would you support a charity that provides assault victim support to 35 male seniors in Western Europe through a unnamed charity?
"
150,"You have $100 to donate.
Would you support a charity that provides clean water to 154 male selfs in SouthEast Asia through a unnamed charity?
"
151,"You have $100 to donate.
Would you support a charity that provides assault victim support to 188 male seniors in North America through a low-recognition charity?
"
152,"You have $100 to donate.
Would you support a charity that provides medication to 88 adult strangers in Central Africa through a low-recognition charity?
"
153,"You have $100 to donate.
Would you support a charity that provides medication to 97 female childs in North America through a unnamed charity?
"
154,"You have $100 to donate.
Would you support a charity that provides medication to 116 named strangers in South Africa through a unnamed charity?
"
155,"You have $100 to donate.
Would you support a charity that provides medication to 101 senior strangers in North Africa through a high-recognition charity?
"
156,"You have $100 to donate.
Would you support a charity that provides assault victim support to 86 child strangers in North America through a low-recognition charity?
"
157,"You have $100 to donate.
Would you support a charity that provides clean water to 57 female unnameds in North Africa through a high-recognition charity?
"
158,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 161 unnamed selfs in East Asia through a low-recognition charity?
"
159,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 185 female relatives in Central Africa through a low-recognition charity?
"
160,"You have $100 to donate.
Would you support a charity that provides medication to 75 female seniors in South America through a low-recognition charity?
"
161,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 241 female childs in Western Europe through a low-recognition charity?
"
162,"You have $100 to donate.
Would you support a charity that provides medication to 250 senior strangers in South America through a low-recognition charity?
"
163,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 167 senior unnameds in Central Africa through a low-recognition charity?
"
164,"You have $100 to donate.
Would you support a charity that provides clean water to 74 male strangers in North America through a low-recognition charity?
"
165,"You have $100 to donate.
Would you support a charity that provides medication to 142 male selfs in Eastern Europe through a high-recognition charity?
"
166,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 269 male childs in North Africa through a high-recognition charity?
"
167,"You have $100 to donate.
Would you support a charity that provides assault victim support to 281 unnamed selfs in Eastern Europe through a unnamed charity?
"
168,"You have $100 to donate.
Would you support a charity that provides clean water to 261 female unnameds in South America through a high-recognition charity?
"
169,"You have $100 to donate.
Would you support a charity that provides medication to 231 adult unnameds in SouthEast Asia through a low-recognition charity?
"
170,"You have $100 to donate.
Would you support a charity that provides medication to 44 adult strangers in Central America through a low-recognition charity?
"
171,"You have $100 to donate.
Would you support a charity that provides medication to 113 adult strangers in North America through a unnamed charity?
"
172,"You have $100 to donate.
Would you support a charity that provides clean water to 113 female childs in North America through a low-recognition charity?
"
173,"You have $100 to donate.
Would you support a charity that provides assault victim support to 207 senior relatives in South Africa through a low-recognition charity?
"
174,"You have $100 to donate.
Would you support a charity that provides clean water to 175 child unnameds in South Africa through a low-recognition charity?
"
175,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 92 unnamed selfs in South Africa through a low-recognition charity?
"
176,"You have $100 to donate.
Would you support a charity that provides assault victim support to 271 adult selfs in Central Africa through a unnamed charity?
"
177,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 247 unnamed strangers in South America through a high-recognition charity?
"
178,"You have $100 to donate.
Would you support a charity that provides clean water to 209 female adults in South Africa through a high-recognition charity?
"
179,"You have $100 to donate.
Would you support a charity that provides assault victim support to 251 named relatives in Eastern Europe through a unnamed charity?
"
180,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 187 named relatives in South Africa through a low-recognition charity?
"
181,"You have $100 to donate.
Would you support a charity that provides assault victim support to 67 male seniors in Central America through a low-recognition charity?
"
182,"You have $100 to donate.
Would you support a charity that provides assault victim support to 135 named selfs in Central America through a low-recognition charity?
"
183,"You have $100 to donate.
Would you support a charity that provides clean water to 148 unnamed strangers in Central America through a high-recognition charity?
"
184,"You have $100 to donate.
Would you support a charity that provides clean water to 280 adult strangers in SouthEast Asia through a low-recognition charity?
"
185,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 5 female childs in East Asia through a high-recognition charity?
"
186,"You have $100 to donate.
Would you support a charity that provides clean water to 195 male nameds in North Africa through a high-recognition charity?
"
187,"You have $100 to donate.
Would you support a charity that provides clean water to 196 male strangers in SouthEast Asia through a high-recognition charity?
"
188,"You have $100 to donate.
Would you support a charity that provides medication to 100 male seniors in North America through a high-recognition charity?
"
189,"You have $100 to donate.
Would you support a charity that provides assault victim support to 190 senior strangers in North America through a unnamed charity?
"
190,"You have $100 to donate.
Would you support a charity that provides assault victim support to 84 female adults in Western Europe through a unnamed charity?
"
191,"You have $100 to donate.
Would you support a charity that provides medication to 69 female selfs in Central Africa through a low-recognition charity?
"
192,"You have $100 to donate.
Would you support a charity that provides assault victim support to 219 adult strangers in Central Africa through a high-recognition charity?
"
193,"You have $100 to donate.
Would you support a charity that provides clean water to 48 senior relatives in South America through a low-recognition charity?
"
194,"You have $100 to donate.
Would you support a charity that provides medication to 64 child nameds in North America through a unnamed charity?
"
195,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 279 male seniors in Central America through a high-recognition charity?
"
196,"You have $100 to donate.
Would you support a charity that provides medication to 285 male selfs in South America through a high-recognition charity?
"
197,"You have $100 to donate.
Would you support a charity that provides clean water to 169 senior strangers in North America through a high-recognition charity?
"
198,"You have $100 to donate.
Would you support a charity that provides medication to 85 named selfs in South America through a high-recognition charity?
"
199,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 58 child relatives in South Africa through a unnamed charity?
"
200,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 151 unnamed selfs in South America through a high-recognition charity?
"
201,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 75 adult strangers in East Asia through a high-recognition charity?
"
202,"You have $100 to donate.
Would you support a charity that provides clean water to 242 female childs in South Africa through a high-recognition charity?
"
203,"You have $100 to donate.
Would you support a charity that provides assault victim support to 32 male seniors in Western Europe through a unnamed charity?
"
204,"You have $100 to donate.
Would you support a charity that provides assault victim support to 5 senior strangers in North Africa through a high-recognition charity?
"
205,"You have $100 to donate.
Would you support a charity that provides assault victim support to 47 senior selfs in SouthEast Asia through a unnamed charity?
"
206,"You have $100 to donate.
Would you support a charity that provides clean water to 137 named strangers in Western Europe through a low-recognition charity?
"
207,"You have $100 to donate.
Would you support a charity that provides clean water to 175 female relatives in North Africa through a low-recognition charity?
"
208,"You have $100 to donate.
Would you support a charity that provides clean water to 283 adult nameds in South America through a high-recognition charity?
"
209,"You have $100 to donate.
Would you support a charity that provides assault victim support to 38 adult relatives in South Africa through a unnamed charity?
"
210,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 71 unnamed relatives in South America through a low-recognition charity?
"
211,"You have $100 to donate.
Would you support a charity that provides assault victim support to 128 child nameds in South Africa through a unnamed charity?
"
212,"You have $100 to donate.
Would you support a charity that provides medication to 132 female seniors in North Africa through a unnamed charity?
"
213,"You have $100 to donate.
Would you support a charity that provides assault victim support to 256 child unnameds in Central Africa through a low-recognition charity?
"
214,"You have $100 to donate.
Would you support a charity that provides clean water to 267 male relatives in Central America through a unnamed charity?
"
215,"You have $100 to donate.
Would you support a charity that provides assault victim support to 201 senior unnameds in North Africa through a low-recognition charity?
"
216,"You have $100 to donate.
Would you support a charity that provides assault victim support to 62 named relatives in Eastern Europe through a unnamed charity?
"
217,"You have $100 to donate.
Would you support a charity that provides clean water to 108 senior selfs in North Africa through a high-recognition charity?
"
218,"You have $100 to donate.
Would you support a charity that provides medication to 63 unnamed selfs in South Africa through a unnamed charity?
"
219,"You have $100 to donate.
Would you support a charity that provides assault victim support to 172 senior selfs in North Africa through a unnamed charity?
"
220,"You have $100 to donate.
Would you support a charity that provides medication to 37 named strangers in Central America through a unnamed charity?
"
221,"You have $100 to donate.
Would you support a charity that provides clean water to 251 senior relatives in Western Europe through a unnamed charity?
"
222,"You have $100 to donate.
Would you support a charity that provides medication to 109 senior unnameds in Central Africa through a unnamed charity?
"
223,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 137 male childs in Central Africa through a low-recognition charity?
"
224,"You have $100 to donate.
Would you support a charity that provides assault victim support to 27 female adults in East Asia through a low-recognition charity?
"
225,"You have $100 to donate.
Would you support a charity that provides medication to 9 adult strangers in East Asia through a unnamed charity?
"
226,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 212 child nameds in Western Europe through a unnamed charity?
"
227,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 61 adult unnameds in North America through a unnamed charity?
"
228,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 197 senior strangers in Central Africa through a high-recognition charity?
"
229,"You have $100 to donate.
Would you support a charity that provides clean water to 247 child strangers in Central Africa through a low-recognition charity?
"
230,"You have $100 to donate.
Would you support a charity that provides clean water to 189 senior relatives in North Africa through a unnamed charity?
"
231,"You have $100 to donate.
Would you support a charity that provides clean water to 189 female unnameds in Central America through a low-recognition charity?
"
232,"You have $100 to donate.
Would you support a charity that provides medication to 63 female seniors in East Asia through a high-recognition charity?
"
233,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 112 male relatives in SouthEast Asia through a low-recognition charity?
"
234,"You have $100 to donate.
Would you support a charity that provides assault victim support to 138 male relatives in Central America through a low-recognition charity?
"
235,"You have $100 to donate.
Would you support a charity that provides assault victim support to 93 female childs in North Africa through a high-recognition charity?
"
236,"You have $100 to donate.
Would you support a charity that provides assault victim support to 126 male relatives in Western Europe through a unnamed charity?
"
237,"You have $100 to donate.
Would you support a charity that provides assault victim support to 108 senior nameds in Central America through a low-recognition charity?
"
238,"You have $100 to donate.
Would you support a charity that provides medication to 29 named selfs in South Africa through a high-recognition charity?
"
239,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 45 senior unnameds in East Asia through a low-recognition charity?
"
240,"You have $100 to donate.
Would you support a charity that provides medication to 175 senior unnameds in North Africa through a unnamed charity?
"
241,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 27 male unnameds in South Africa through a high-recognition charity?
"
242,"You have $100 to donate.
Would you support a charity that provides clean water to 231 male childs in East Asia through a high-recognition charity?
"
243,"You have $100 to donate.
Would you support a charity that provides assault victim support to 12 adult selfs in North America through a low-recognition charity?
"
244,"You have $100 to donate.
Would you support a charity that provides clean water to 248 adult nameds in North America through a low-recognition charity?
"
245,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 48 child nameds in Western Europe through a high-recognition charity?
"
246,"You have $100 to donate.
Would you support a charity that provides clean water to 207 unnamed relatives in Central America through a high-recognition charity?
"
247,"You have $100 to donate.
Would you support a charity that provides medication to 177 male unnameds in Central Africa through a high-recognition charity?
"
248,"You have $100 to donate.
Would you support a charity that provides clean water to 226 child nameds in Central Africa through a high-recognition charity?
"
249,"You have $100 to donate.
Would you support a charity that provides medication to 286 adult relatives in South Africa through a low-recognition charity?
"
250,"You have $100 to donate.
Would you support a charity that provides assault victim support to 196 child nameds in North Africa through a high-recognition charity?
"
251,"You have $100 to donate.
Would you support a charity that provides clean water to 80 female seniors in North Africa through a high-recognition charity?
"
252,"You have $100 to donate.
Would you support a charity that provides nutritious meals to 73 female nameds in South Africa through a high-recognition charity?
"
253,"You have $100 to donate.
Would you support a charity that provides assault victim support to 10 adult selfs in South America through a high-recognition charity?
"
254,"You have $100 to donate.
Would you support a charity that provides medication to 132 male seniors in SouthEast Asia through a high-recognition charity?
"
255,"You have $100 to donate.
Would you support a charity that provides clean water to 221 adult unnameds in South Africa through a high-recognition charity?
"
256,"You have $100 to donate.
Would you support a charity that provides medication to 88 male unnameds in East Asia through a low-recognition charity?
"
257,"You have $100 to donate.
Would you support a charity that provides clean water to 219 male strangers in Western Europe through a low-recognition charity?
"
258,"You have $100 to donate.
Would you support a charity that provides clean water to 168 senior strangers in Eastern Europe through a unnamed charity?
"
259,"You have $100 to donate.
Would you support a charity that provides assault victim support to 224 female strangers in North America through a low-recognition charity?
"
260,"You have $100 to donate.
Would you support a charity that provides medication to 290 male childs in SouthEast Asia through a unnamed charity?
"
